outcode,pct_private_rented,pct_students,pct_employed
DE6,13.1,18.1,59.9
DE65,11.4,21.5,57.0
DE7,8.6,16.6,58.2
DE72,9.4,18.2,63.8
DE73,17.9,16.8,58.6
DE74,15.9,16.2,62.1
DE75,17.9,16.4,60.8
DH1,55.6,79.9,8.7
DH2,14.1,18.7,55.4
DH3,11.0,15.6,53.7
DH4,13.0,18.2,59.8
DH5,13.8,14.4,52.0
DH6,13.4,17.6,59.5
DH7,14.6,18.1,56.0
DH8,24.5,15.8,58.3
DH9,16.9,21.4,55.2
DL1,20.1,20.6,59.4
DL10,20.2,14.1,56.0
DL11,20.2,10.5,56.2
DL12,19.1,14.7,51.1
DL13,16.2,14.1,51.5
DL14,13.6,20.6,49.7
DL15,20.4,16.6,54.7
DL16,15.7,17.9,57.9
DL17,21.1,18.1,57.0
DL2,17.7,15.2,53.9
DL3,16.0,19.9,62.1
DL4,22.1,17.8,51.3
DL5,21.0,23.8,50.1
DL6,11.1,12.7,49.8
DL7,11.7,13.1,54.0
DL8,17.6,14.7,57.4
DL9,35.7,19.4,71.0
DN1,42.9,16.8,62.3
DN10,10.9,15.8,56.0
DN11,15.1,17.0,58.0
DN12,15.3,19.5,57.2
DN14,14.2,15.5,60.0
DN15,17.0,13.3,51.1
DN16,18.3,22.1,59.6
DN17,14.6,17.4,56.3
DN18,17.7,16.2,56.8
DN19,15.9,16.8,55.6
DN2,16.1,19.4,58.0
DN21,10.7,12.7,49.5
DN22,12.9,13.0,49.9
DN3,14.1,17.9,57.9
DN31,45.8,19.2,58.3
DN32,48.8,23.1,59.6
DN33,12.7,18.8,59.2
DN34,23.9,20.4,58.5
DN35,9.5,12.9,49.8
DN36,8.2,16.7,57.2
DN37,11.4,13.9,51.6
DN38,17.4,17.5,56.1
DN39,17.4,17.5,56.1
DN4,14.5,15.9,57.1
DN40,16.6,18.6,55.2
DN41,11.0,17.8,58.8
DN5,14.8,16.5,58.1
DN6,18.2,19.0,58.2
DN7,13.0,11.4,46.0
DN8,17.9,22.1,57.3
DN9,16.1,18.6,64.1
DT1,21.8,11.9,49.3
DT10,15.0,14.1,51.6
DT11,14.1,14.8,54.7
DT2,16.3,13.3,50.5
DT3,17.5,17.2,58.3
DT4,40.1,12.1,51.1
DT5,25.4,14.8,49.9
DT6,12.6,12.5,45.7
DT7,12.6,12.5,45.7
DT8,18.3,13.5,51.3
DT9,20.4,15.6,58.5
DY1,29.5,21.3,55.5
DY10,16.3,15.9,61.2
DY11,12.9,16.5,55.1
DY12,13.3,15.1,50.9
DY13,11.1,16.8,55.7
DY14,13.5,12.9,50.5
DY2,27.8,24.7,56.0
DY3,12.8,18.1,66.2
DY4,11.5,26.9,53.8
DY5,26.0,18.4,58.0
DY6,13.9,15.7,58.8
DY7,10.3,14.6,56.7
DY8,15.3,19.9,63.5
DY9,7.3,17.7,49.9
E1,55.3,29.6,60.3
E11,29.7,16.2,64.6
E12,41.0,32.3,52.3
E13,39.4,26.3,62.3
E14,64.3,15.9,79.6
E15,37.2,22.8,64.2
E16,46.0,20.5,69.2
E17,35.9,21.2,67.3
E18,29.7,16.2,64.6
E1W,48.3,20.3,71.0
E2,30.5,18.9,69.9
E20,53.8,25.1,75.0
E3,38.1,18.7,71.0
E4,19.7,20.9,60.9
E5,27.8,20.7,64.9
E6,48.5,27.7,57.3
E7,40.1,27.8,56.1
E8,40.2,17.7,72.7
E9,27.5,20.2,65.2
EC1A,48.3,13.9,69.4
EC1M,35.9,26.4,59.8
EC1N,48.3,13.9,69.4
EC1R,36.6,24.1,59.3
EC1V,37.3,23.5,65.8
EC1Y,28.3,24.6,60.7
EC2A,58.5,21.1,72.4
EC2M,48.3,13.9,69.4
EC2Y,48.3,13.9,69.4
EC3N,48.3,13.9,69.4
EC3R,48.3,13.9,69.4
EC4A,48.3,13.9,69.4
EC4M,48.3,13.9,69.4
EC4V,48.3,13.9,69.4
EC4Y,48.3,13.9,69.4
EN1,16.2,22.2,60.6
EN10,10.1,15.2,60.2
EN11,25.3,16.8,62.3
EN2,27.3,18.2,60.8
EN3,33.6,30.7,53.7
EN4,33.8,23.1,64.9
EN5,24.1,18.8,61.8
EN6,11.6,17.8,57.9
EN7,8.2,16.9,63.1
EN8,23.5,18.7,61.9
EN9,14.2,19.5,65.0
EX1,14.1,18.5,65.9
EX10,17.2,16.7,52.7
EX11,13.2,18.7,53.7
EX12,18.8,10.0,41.1
EX13,12.1,13.0,47.6
EX14,15.2,14.3,55.6
EX15,19.5,16.9,63.1
EX16,21.9,22.1,57.6
EX17,15.9,16.8,59.6
EX18,16.1,14.1,53.3
EX19,17.6,13.0,53.0
EX2,27.7,14.5,61.4
EX20,19.4,16.3,58.5
EX21,16.1,14.0,53.1
EX22,16.1,14.0,53.1
EX23,21.0,16.7,50.3
EX24,12.1,13.0,47.6
